waypoint,x,y
0,0.000000,0.000000
1,48.013038,0.000000
2,48.176845,-85.903595
3,-8.392549,-87.577262
4,-36.959296,-100.764218
5,-36.996728,-100.947604
6,-37.064709,-101.121990
7,-37.161271,-101.282325
8,-37.283617,-101.423970
9,-37.428206,-101.542822
10,-37.590851,-101.635440
11,-37.766844,-101.699144
12,-37.951089,-101.732088
13,-38.138253,-101.733319
14,-38.322916,-101.702802
15,-38.499732,-101.641419
16,-38.663582,-101.550949
17,-65.139482,-113.772731
18,-65.211407,-113.930884
19,-65.307337,-114.075740
20,-65.424878,-114.203684
21,-65.561099,-114.311525
22,-65.712600,-114.396573
23,-65.875602,-114.456706
24,-66.046039,-114.490424
25,-66.219660,-114.496885
26,-66.392132,-114.475929
27,-66.559153,-114.428078
28,-114.295994,-136.464317
29,-114.301342,-136.651826
30,-114.338473,-136.835699
31,-114.406306,-137.010590
32,-114.502868,-137.171413
33,-114.625352,-137.313490
34,-114.770196,-137.432690
35,-114.933186,-137.525546
36,-115.109584,-137.589358
37,-115.294259,-137.622270
38,-115.481842,-137.623326
39,-115.666876,-137.592493
40,-115.843980,-137.530670
41,-116.008005,-137.439654
42,-116.154181,-137.322091
43,-142.428059,-149.450616
44,-142.469546,-149.627081
45,-142.539452,-149.794336
46,-142.635879,-149.947839
47,-142.756207,-150.083421
48,-142.897168,-150.197400
49,-143.054935,-150.286679
50,-143.225222,-150.348836
51,-143.403406,-150.382181
52,-143.584646,-150.385808
53,-143.764021,-150.359621
54,-143.936660,-150.304329
55,-144.097873,-150.221434
56,-170.619005,-162.464096
57,-170.702157,-162.627649
58,-170.811339,-162.775107
59,-170.943511,-162.902365
60,-171.094997,-163.005884
61,-171.261583,-163.082783
62,-171.438633,-163.130923
63,-171.621222,-163.148964
64,-171.804269,-163.136405
65,-171.982683,-163.093596
66,-219.867127,-185.197971
67,-219.963688,-185.358043
68,-220.085959,-185.499453
69,-220.230410,-185.618116
70,-220.392868,-185.710606
71,-220.568642,-185.774251
72,-220.752654,-185.807212
